,img_link,hist_hue,hist_sat,hist_val,clr_warm,clr_green,clr_cool,clr_purple,clr_black,clr_white,clr_grays,clr_very_sat
0,/games/boxart/full_6510540AmericaFrontccc.jpg,"[np.float32(0.2874822), np.float32(0.13867228), np.float32(0.051908866), np.float32(0.043127418), np.float32(0.030040009), np.float32(0.04648403), np.float32(0.12232997), np.float32(0.04939988), np.float32(0.0710314), np.float32(0.03563437), np.float32(0.033871297), np.float32(0.09001831)]","[np.float32(0.12689209), np.float32(0.043151855), np.float32(0.03425598), np.float32(0.0320282), np.float32(0.030334473), np.float32(0.04194641), np.float32(0.026550293), np.float32(0.027069092), np.float32(0.025970459), np.float32(0.02696228), np.float32(0.02659607), np.float32(0.028152466), np.float32(0.02760315), np.float32(0.0234375), np.float32(0.020812988), np.float32(0.018508911), np.float32(0.022232056), np.float32(0.019729614), np.float32(0.01864624), np.float32(0.0184021), np.float32(0.015945435), np.float32(0.01411438), np.float32(0.0137786865), np.float32(0.013259888), np.float32(0.01449585), np.float32(0.0135650635), np.float32(0.013183594), np.float32(0.014022827), np.float32(0.015579224), np.float32(0.017471313), np.float32(0.01826477), np.float32(0.014633179), np.float32(0.015487671), np.float32(0.013336182), np.float32(0.014160156), np.float32(0.014556885), np.float32(0.01423645), np.float32(0.014450073), np.float32(0.013549805), np.float32(0.012237549), np.float32(0.010543823), np.float32(0.00920105), np.float32(0.006729126), np.float32(0.006362915), np.float32(0.005264282), np.float32(0.005584717), np.float32(0.0056915283), np.float32(0.0055236816), np.float32(0.0030670166), np.float32(0.0016021729), np.float32(0.0018005371), np.float32(0.0014343262), np.float32(0.0007324219), np.float32(0.00077819824), np.float32(0.0007324219), np.float32(0.0007324219), np.float32(0.0006713867), np.float32(0.00093078613), np.float32(0.0005493164), np.float32(0.0005340576), np.float32(0.00048828125), np.float32(0.00033569336), np.float32(0.00019836426), np.float32(0.00090026855)]","[np.float32(0.00019836426), np.float32(0.0013275146), np.float32(0.0034637451), np.float32(0.007156372), np.float32(0.017807007), np.float32(0.044052124), np.float32(0.08169556), np.float32(0.04385376), np.float32(0.026168823), np.float32(0.017074585), np.float32(0.016098022), np.float32(0.013137817), np.float32(0.011016846), np.float32(0.009399414), np.float32(0.00881958), np.float32(0.008285522), np.float32(0.007537842), np.float32(0.0072021484), np.float32(0.0074768066), np.float32(0.006790161), np.float32(0.007171631), np.float32(0.006866455), np.float32(0.006866455), np.float32(0.0066986084), np.float32(0.006576538), np.float32(0.0074920654), np.float32(0.007858276), np.float32(0.0075531006), np.float32(0.00680542), np.float32(0.008026123), np.float32(0.007675171), np.float32(0.008560181), np.float32(0.011001587), np.float32(0.011062622), np.float32(0.011108398), np.float32(0.010757446), np.float32(0.010482788), np.float32(0.010528564), np.float32(0.008331299), np.float32(0.008377075), np.float32(0.008636475), np.float32(0.009124756), np.float32(0.009933472), np.float32(0.011199951), np.float32(0.010345459), np.float32(0.010040283), np.float32(0.010498047), np.float32(0.010482788), np.float32(0.010025024), np.float32(0.009780884), np.float32(0.010269165), np.float32(0.011734009), np.float32(0.011383057), np.float32(0.013870239), np.float32(0.016464233), np.float32(0.01637268), np.float32(0.015655518), np.float32(0.018310547), np.float32(0.020324707), np.float32(0.023651123), np.float32(0.030349731), np.float32(0.04071045), np.float32(0.061767578), np.float32(0.10070801)]",True,False,True,False,False,False,True,False
1,/games/boxart/full_5563178AmericaFrontccc.jpg,"[np.float32(0.31719968), np.float32(0.10559006), np.float32(0.03416149), np.float32(0.035945553), np.float32(0.02428307), np.float32(0.017642394), np.float32(0.24682833), np.float32(0.11018237), np.float32(0.014140346), np.float32(0.028016387), np.float32(0.020880137), np.float32(0.04513017)]","[np.float32(0.31637573), np.float32(0.004623413), np.float32(0.0047912598), np.float32(0.010894775), np.float32(0.011276245), np.float32(0.011398315), np.float32(0.013290405), np.float32(0.012191772), np.float32(0.010665894), np.float32(0.010391235), np.float32(0.010253906), np.float32(0.012802124), np.float32(0.010375977), np.float32(0.012359619), np.float32(0.010803223), np.float32(0.011062622), np.float32(0.009429932), np.float32(0.008895874), np.float32(0.009811401), np.float32(0.009292603), np.float32(0.010009766), np.float32(0.009597778), np.float32(0.008666992), np.float32(0.008712769), np.float32(0.008666992), np.float32(0.009277344), np.float32(0.008071899), np.float32(0.00932312), np.float32(0.011047363), np.float32(0.013549805), np.float32(0.013076782), np.float32(0.01234436), np.float32(0.015350342), np.float32(0.009277344), np.float32(0.0084991455), np.float32(0.009017944), np.float32(0.009353638), np.float32(0.009185791), np.float32(0.01071167), np.float32(0.011276245), np.float32(0.010391235), np.float32(0.009811401), np.float32(0.013061523), np.float32(0.008377075), np.float32(0.007522583), np.float32(0.008010864), np.float32(0.0064849854), np.float32(0.009262085), np.float32(0.0059661865), np.float32(0.0055236816), np.float32(0.0048675537), np.float32(0.005630493), np.float32(0.0043182373), np.float32(0.0045776367), np.float32(0.004547119), np.float32(0.004135132), np.float32(0.0036621094), np.float32(0.003753662), np.float32(0.0110321045), np.float32(0.0028686523), np.float32(0.0045928955), np.float32(0.0059661865), np.float32(0.0020751953), np.float32(0.13755798)]","[np.float32(0.18640137), np.float32(0.018692017), np.float32(0.012710571), np.float32(0.008483887), np.float32(0.009780884), np.float32(0.011108398), np.float32(0.010665894), np.float32(0.008041382), np.float32(0.0063323975), np.float32(0.0065460205), np.float32(0.006378174), np.float32(0.0075683594), np.float32(0.0062713623), np.float32(0.005859375), np.float32(0.005432129), np.float32(0.0055389404), np.float32(0.005203247), np.float32(0.0066070557), np.float32(0.0046691895), np.float32(0.005355835), np.float32(0.004928589), np.float32(0.0059051514), np.float32(0.0060424805), np.float32(0.006362915), np.float32(0.006881714), np.float32(0.00630188), np.float32(0.007827759), np.float32(0.0060577393), np.float32(0.007156372), np.float32(0.006713867), np.float32(0.0061950684), np.float32(0.007080078), np.float32(0.0069732666), np.float32(0.008010864), np.float32(0.009048462), np.float32(0.008132935), np.float32(0.007675171), np.float32(0.009033203), np.float32(0.00944519), np.float32(0.010543823), np.float32(0.010513306), np.float32(0.043518066), np.float32(0.011779785), np.float32(0.011245728), np.float32(0.015197754), np.float32(0.014678955), np.float32(0.014205933), np.float32(0.017120361), np.float32(0.015701294), np.float32(0.015991211), np.float32(0.014266968), np.float32(0.015594482), np.float32(0.014572144), np.float32(0.04321289), np.float32(0.013824463), np.float32(0.014541626), np.float32(0.017532349), np.float32(0.013305664), np.float32(0.012207031), np.float32(0.013290405), np.float32(0.013916016), np.float32(0.015823364), np.float32(0.023757935), np.float32(0.12023926)]",True,False,True,False,False,False,True,False
2,/games/boxart/827563ccc.jpg,"[np.float32(0.28599828), np.float32(0.082845785), np.float32(0.0034933258), np.float32(0.0010224368), np.float32(0.001192843), np.float32(0.006305027), np.float32(0.3027833), np.float32(0.040556658), np.float32(0.008122692), np.float32(0.005026981), np.float32(0.018148253), np.float32(0.24450439)]","[np.float32(0.1237793), np.float32(0.030334473), np.float32(0.021514893), np.float32(0.015991211), np.float32(0.012237549), np.float32(0.0129852295), np.float32(0.0115356445), np.float32(0.015380859), np.float32(0.014877319), np.float32(0.014862061), np.float32(0.014770508), np.float32(0.014663696), np.float32(0.014434814), np.float32(0.014587402), np.float32(0.012771606), np.float32(0.011276245), np.float32(0.0132751465), np.float32(0.010986328), np.float32(0.010101318), np.float32(0.011260986), np.float32(0.010421753), np.float32(0.012374878), np.float32(0.011428833), np.float32(0.011367798), np.float32(0.013031006), np.float32(0.013046265), np.float32(0.012420654), np.float32(0.011672974), np.float32(0.011352539), np.float32(0.011199951), np.float32(0.010772705), np.float32(0.0099487305), np.float32(0.014175415), np.float32(0.011886597), np.float32(0.011444092), np.float32(0.010940552), np.float32(0.011169434), np.float32(0.011184692), np.float32(0.011734009), np.float32(0.012207031), np.float32(0.01083374), np.float32(0.011810303), np.float32(0.012710571), np.float32(0.011352539), np.float32(0.011260986), np.float32(0.011688232), np.float32(0.00970459), np.float32(0.012069702), np.float32(0.009979248), np.float32(0.010467529), np.float32(0.010482788), np.float32(0.011962891), np.float32(0.010940552), np.float32(0.012634277), np.float32(0.015533447), np.float32(0.0124053955), np.float32(0.011505127), np.float32(0.01210022), np.float32(0.01171875), np.float32(0.011993408), np.float32(0.011932373), np.float32(0.012908936), np.float32(0.010879517), np.float32(0.095718384)]","[np.float32(0.0021514893), np.float32(0.033065796), np.float32(0.0599823), np.float32(0.018234253), np.float32(0.01777649), np.float32(0.016799927), np.float32(0.022094727), np.float32(0.01663208), np.float32(0.014389038), np.float32(0.015563965), np.float32(0.012252808), np.float32(0.015838623), np.float32(0.011627197), np.float32(0.010467529), np.float32(0.010925293), np.float32(0.0110321045), np.float32(0.011459351), np.float32(0.010772705), np.float32(0.010055542), np.float32(0.010818481), np.float32(0.01234436), np.float32(0.010894775), np.float32(0.011444092), np.float32(0.010772705), np.float32(0.011260986), np.float32(0.011306763), np.float32(0.011962891), np.float32(0.013763428), np.float32(0.012420654), np.float32(0.013473511), np.float32(0.01473999), np.float32(0.014221191), np.float32(0.012557983), np.float32(0.014389038), np.float32(0.01373291), np.float32(0.012664795), np.float32(0.012451172), np.float32(0.01222229), np.float32(0.012329102), np.float32(0.010345459), np.float32(0.011276245), np.float32(0.011764526), np.float32(0.012786865), np.float32(0.0135650635), np.float32(0.012329102), np.float32(0.0124053955), np.float32(0.012756348), np.float32(0.012786865), np.float32(0.013595581), np.float32(0.015090942), np.float32(0.015899658), np.float32(0.018127441), np.float32(0.015853882), np.float32(0.015930176), np.float32(0.017684937), np.float32(0.018539429), np.float32(0.018569946), np.float32(0.022064209), np.float32(0.022155762), np.float32(0.021606445), np.float32(0.018463135), np.float32(0.02027893), np.float32(0.024169922), np.float32(0.0410614)]",True,False,True,True,False,False,False,True
