,img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,franchise
7178,/games/boxart/full_pac-man-ampamp-galaga-dimensions_81AmericaFront.jpg,Pac-Man & Galaga Dimensions,3DS,Action,Namco Bandai,Namco Bandai Games,5.7,0.19,0.1,0.04,0.04,0.01,7/26/2011,01/05/19,Pac-Man
5742,/games/boxart/full_983001AmericaFrontccc.jpg,Pac-Pix,DS,Puzzle,Namco,Namco,6.8,0.27,0.16,0.1,0,0.01,4/26/2005,4/26/2005,Pac-Man
5987,/games/boxart/266937ccc.jpg,Panzer Dragoon Orta,XB,Shooter,Sega,Smilebit,8.8,0.26,0.16,0.04,0.05,0.01,01/12/2003,01/12/03,Panzer Dragoon 
1806,/games/boxart/full_8885459AmericaFrontccc.jpg,Paper Mario: Color Splash,WiiU,Action-Adventure,Nintendo,Intelligent Systems,7.4,0.87,0.35,0.08,0.37,0.06,10/07/2016,3/31/2018,Paper Mario
1924,/games/boxart/full_3223AmericaFrontccc.jpg,Patapon,PSP,Platform,Sony Computer Entertainment,Pyramid/JAPAN Studio,8.7,0.82,0.33,0.07,0.25,0.17,2/26/2008,2/26/2008,Patapon (Series)
5501,/games/boxart/full_patapon-3_165AmericaFront.jpg,Patapon 3,PSP,Platform,Sony Computer Entertainment,Pyramid/JAPAN Studio,7.4,0.28,0.05,0.17,0.04,0.02,04/12/2011,04/12/11,Patapon (Series)
4704,/games/boxart/367323ccc.jpg,Persona 2: Eternal Punishment,PS,Role-Playing,Atlus,Atlus Co.,8.7,0.35,0.03,0.28,0.02,0.02,12/22/2000,12/22/2000,Persona
472,/games/boxart/full_605562AmericaFrontccc.jpg,PES 2009: Pro Evolution Soccer,PS3,Sports,Konami,Konami,7.7,2.11,0.11,0.4,1.34,0.26,11/11/2008,11/11/08,Pro Evolution Soccer
1983,/games/boxart/full_9911271AmericaFrontccc.jpg,PES 2009: Pro Evolution Soccer,PSP,Sports,Konami,Konami,7.3,0.8,0.04,0.26,0.33,0.17,11/11/2008,11/11/08,Pro Evolution Soccer
3691,/games/boxart/full_1187828AmericaFrontccc.jpg,PES 2009: Pro Evolution Soccer,Wii,Sports,Konami,Konami,8.4,0.45,0.09,0.05,0.26,0.05,3/17/2009,3/17/2009,Pro Evolution Soccer
